Id,site,date,ref_x,ref_y,revisit,crust,dist,rock,green,dead,litter,crypto,mid_g,mid_d,mid_b,crn,over_g,over_d,over_b,PV,NPV,Bare
1,nsw060,20120419,141.6791,-31.0178,original,14,0,14.6,33.9,30.9,4.3,2.3,0,0,0,0,0,0,0,0.339,0.375,0.286
2,nsw062,20120419,141.6847,-30.9987,original,17.3,2,8.7,23.7,35.3,7,6.3,0,0,0,0,0,0,0,0.237,0.486,0.28
3,nsw065,20120421,141.68611,-30.979,original,12,0.7,7.3,29.7,42.7,3.7,4,0,0,0,0,0,0,0,0.297,0.504,0.2
4,nsw066,20120421,141.6768,-31.084,original,30.7,2,21,28.3,10,7,1,0,0,0,0,0,0,0,0.283,0.18,0.537
5,nsw067,20120421,141.7831,-31.0686,original,18,0.7,1.7,33.3,30,14.3,2,0,0,0,0,0,0,0,0.333,0.463,0.204
6,nsw068,20120422,141.7191,-31.1196,original,24.7,0.7,35.7,17,16,5.3,0.7,0,0,0.3,0,0,0,0,0.1695,0.2223,0.6092
7,nsw069,20120422,141.7751,-31.0058,original,14.7,0.3,4,29.3,42.7,5.7,3.3,0,0,0,0,0,0,0,0.293,0.517,0.19
8,wst018,20130306,141.7169,-31.0729,original,14.3,1,29.3,3.3,39,0,13,0,0,0,4,1.7,0,0.3,0.0494,0.5125,0.4371
9,wst019,20130306,141.7189,-31.0653,original,12.3,0.7,47.7,4,31.7,0,3.7,0,0,0,17.3,10,0,3.7,0.1384,0.3387,0.5238
10,fg12,20160911,141.6661,-31.0588,original,21.3,1.7,31,10,8.3,26,1.7,0,9.3,0.3,19,5.7,0,7.7,0.14,0.4372,0.4227
11,fg13,20160911,141.6633,-31.0563,original,11,1,27.3,44,7,9.3,0.3,0,0.3,0.3,3.7,1.3,1,0.3,0.4407,0.179,0.3793
12,fg14,20160911,141.6699,-31.054,original,18.3,2.7,27.3,25.7,6.7,17,2.3,0,0,0,0,0,0,0,0.2592,0.2592,0.4816
13,fg11,20160912,141.6698,-31.0618,original,9,3,0,4,0,84,0,2,6,0.3,95,58.7,1,19,0.7366,0.2403,0.0231
15,fg52,20160912,141.7446,-31.0825,original,22,2,3.7,33.7,11.3,22.3,5,1,0,0,0,0,0,0,0.3436,0.3821,0.2742
16,fg53,20160912,141.7389,-31.0815,original,42.7,4,34.3,8.7,3.3,4.3,2.7,0,0,0,0,0,0,0,0.087,0.103,0.81
17,fg54,20160912,141.7441,-31.0817,original,40.3,7.3,4.3,22,4.3,7.3,14.3,0,0,0,0,0,0,0,0.2223,0.2582,0.5174
18,fg22,20160913,141.7008,-31.0762,original,40.7,1,34,10,5.3,4.3,4.7,0,0.3,0,0,0,0,0,0.1024,0.1451,0.7525
19,fg24,20160913,141.6948,-31.0744,original,23.3,1.7,34,24.3,6.3,4.7,5.7,1,0.3,0,3.3,0.3,0,2.7,0.2432,0.1902,0.5666
20,fg51,20160913,141.7418,-31.0792,original,32,3.7,0.7,33.7,9,6.3,14.7,0,0,0,1.3,1.3,0,0,0.3456,0.2961,0.3593
21,fg21,20160914,141.6979,-31.0798,original,5.3,0,18,33.3,22.3,6.7,14.3,0,0,0,0,0,0,0,0.335,0.4317,0.2323
23,fg23,20160914,141.7027,-31.0791,original,22,0.7,57,12,2,2,4.3,0,0,0.3,0,0,0,0,0.1196,0.0858,0.7946
8,fg32,20160914,141.7169,-31.0729,original,25.3,0.3,30.7,12.3,4.3,15,12,0,0.3,0,2.3,1.3,0,0.3,0.1337,0.313,0.5523
24,fg33,20160914,141.7126,-31.0717,original,16,0.3,49.7,23.7,5,5,0.3,0,0,0,0.3,0,0,0,0.237,0.103,0.66
25,fg34,20160914,141.7132,-31.071,original,22,2.3,49,18,5.3,3,0.3,0,0,0,0,0,0,0,0.18,0.086,0.733
26,fg31,20160915,141.7179,-31.0655,original,5.7,0.7,57.7,8.3,2.3,18.3,7,0,1,0.7,11.7,7.3,1,2.7,0.1479,0.2894,0.5627
27,fg41,20160915,141.7195,-31.107,original,14,0.3,39,28.7,6.3,10.7,1,1,4,1.3,3.3,0.7,1,0.7,0.2764,0.2362,0.4875
28,fg43,20160915,141.7146,-31.1109,original,16.7,1.3,51,17,3,8.3,2.7,0,0,0,0,0,0,0,0.17,0.14,0.69
29,fg42,20160916,141.7215,-31.1122,original,16,0.7,43.3,21,5.3,13,0.7,0,0,0,0,0,0,0,0.21,0.19,0.6
30,fg44,20160916,141.7149,-31.1149,original,20,1.3,39.3,14.7,7.3,16,1.3,0,0.3,0.3,12,4.3,0,3.3,0.1795,0.263,0.5566
2,nsw062,20210429,141.6847,-30.9987,revisit,48,1,20,13,7,11,0,0,0,0,0,0,0,0,0.13,0.18,0.69
7,nsw069,20210429,141.7751,-31.0058,revisit,67,2,13,2,12,4,0,0,0,0,0,0,0,0,0.02,0.16,0.82
31,con1,20210430,141.7588,-31.0764,original,35,0,5,9,22,29,0,0,0,0,2,0,0,2,0.0882,0.5198,0.392
32,con2,20210430,141.7578,-31.0732,original,44,0.5,14,13,18.5,9.5,0.5,0,0.5,0,0,0,0,0,0.1294,0.2886,0.5821
20,fg51,20210430,141.7416,-31.0793,revisit,48,2,2,18,16,14,0,0,0,0,0,0,0,0,0.18,0.3,0.52
16,fg53,20210430,141.7389,-31.0815,revisit,57,2,35,1,4,1,0,0,0,0,0,0,0,0,0.01,0.05,0.94
26,fg31,20210501,141.7179,-31.0655,revisit,21,0,52,6,4,17,0,0,5,0,18,4,1,6,0.0933,0.2895,0.6172
33,war1,20210501,141.7808,-31.1139,original,52.5,3.5,7,3.5,19,14.5,0,0,0,0,0,0,0,0,0.035,0.335,0.63
34,war2,20210501,141.7851,-31.1142,original,48,2,24,1,8,17,0,0,0,0,0,0,0,0,0.01,0.25,0.74
14,fg11,20210502,141.6701,-31.0618,revisit,1,0,0,12,2,85,0,14,14,2,92,44,0,28,0.6738,0.3242,0.002
22,fg21,20210502,141.6978,-31.0799,revisit,17,0,31,14,11,25,2,2,16,2,0,0,0,0,0.132,0.484,0.384
18,fg22,20210502,141.7008,-31.0762,revisit,41,0.5,39.5,3.5,7,8.5,0,0,0.5,0,0,0,0,0,0.0397,0.1585,0.8019
35,man1,20210503,141.7982,-31.0204,original,22,0,0,9.3,30,38.7,0,0,0,0,0,0,0,0,0.093,0.687,0.22
36,man2,20210503,141.7977,-31.0177,original,28.7,0,0,2,38.7,30.7,0,0,0,0,0,0,0,0,0.02,0.694,0.287
37,war3,20210504,141.7821,-31.1121,original,45.7,0,0,2.7,24.3,27.3,0,0,0,0,0,0,0,0,0.027,0.516,0.457
38,war4,20210504,141.7891,-31.1112,original,45.3,0,0.7,0,20.3,33.7,0,0,0,0,0,0,0,0,0,0.54,0.46
