Id,image,pixels,meanBare,stdevBare,meanGreen,stdevGreen,meanDead,stdevDead
1,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,9,22.22,2.94,29.00,1.63,47.67,4.11
2,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,9,11.56,3.53,31.33,1.94,56.11,4.23
3,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,999,999,999,999,999,999,999
4,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,999,999,999,999,999,999,999
5,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,9,26.78,9.45,23.67,5.08,48.11,7.80
6,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,9,35.56,5.52,13.33,3.46,49.67,4.83
7,lztmre_nsw_m201203201205_dbia2_subset_AZN.tif,9,13.22,5.09,31.00,2.62,54.33,4.90
8,lztmre_nsw_m201303201305_dbia2_subset_AZN.tif,999,999,999,999,999,999,999
9,lztmre_nsw_m201303201305_dbia2_subset_AZN.tif,999,999,999,999,999,999,999
10,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,32.67,4.00,15.89,2.56,50.00,2.31
11,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,18.22,5.77,34.56,8.49,46.11,3.81
12,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,36.33,2.05,16.11,0.74,45.56,2.11
13,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,20.56,6.78,51.56,1.34,27.56,7.18
15,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,29.89,4.18,26.89,2.77,42.11,4.15
16,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,60.78,4.29,7.22,1.69,30.67,2.67
17,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,31.89,4.36,30.89,5.26,36.11,2.96
18,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,56.67,3.02,6.33,1.49,35.44,2.63
19,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,34.67,5.37,17.56,4.97,46.56,1.95
20,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,34.22,4.57,27.44,4.97,37.00,2.79
21,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,27.00,5.27,23.78,4.49,47.89,2.18
23,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,52.11,3.21,8.00,2.54,38.22,1.75
8,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,39.00,4.40,13.56,1.17,45.67,4.52
24,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,33.00,1.41,14.44,1.83,51.00,1.05
25,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,34.56,2.36,14.56,1.89,49.56,0.83
26,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,31.33,3.43,17.56,2.91,49.67,2.40
27,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,30.22,3.68,18.00,1.83,50.56,2.54
28,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,39.44,2.01,9.33,1.15,49.44,2.50
29,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,36.44,1.89,12.00,0.94,49.89,1.37
30,l8olre_nsw_m201609201611_dbia2_subset_AZN.tif,9,30.22,2.25,14.78,1.13,53.33,2.16
2,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,56.33,3.71,9.56,1.57,32.89,2.33
7,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,61.22,3.61,2.78,1.55,34.44,3.06
31,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,45.11,5.34,6.11,1.79,47.11,4.63
32,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,51.33,1.83,5.78,1.81,41.11,1.52
20,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,46.78,4.78,11.33,3.92,40.22,4.13
16,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,67.89,2.96,1.00,0.67,29.89,2.77
26,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,34.67,3.65,12.00,3.53,51.44,2.27
33,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,50.22,4.26,1.67,1.83,46.44,5.19
34,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,56.11,1.91,3.33,1.41,39.22,2.57
14,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,24.22,10.15,49.89,7.36,25.33,16.73
22,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,40.67,4.29,6.44,1.89,51.33,2.71
18,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,62.22,3.52,0.11,0.31,36.44,3.24
35,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,29.22,7.02,12.00,4.08,58.00,6.15
36,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,43.33,2.21,3.56,0.50,51.67,2.00
37,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,50.33,2.94,6.00,2.26,42.22,2.10
38,l8olre_nsw_m202103202105_dbia2_subset_AZN.tif,9,54.78,2.57,2.33,0.94,41.33,2.98
